x,y,z,v_x,v_y,v_z,|U|,rho,pressure
-0.4, 0.1, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.4, 0.15, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.4, 0.15, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.4, 0.15, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.4, 0.2, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.4, 0.2, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.4, 0.2, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.4, 0.25, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.4, 0.25, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.4, 0.25, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.4, 0.3, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.4, 0.3, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.4, 0.3, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.4, 0.35, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.4, 0.35, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.4, 0.35, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.4, 0.4, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.4, 0.4, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.4, 0.4, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.4, 0.45, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.4, 0.45, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.4, 0.45, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.4, 0.5, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.4, 0.5, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.4, 0.5, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.4, 0.55, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.4, 0.55, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.4, 0.55, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.4, 0.6, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.4, 0.6, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.4, 0.6, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.4, 0.65, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.4, 0.65, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.4, 0.65, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, -0.65, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, -0.65, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, -0.65, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, -0.6, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, -0.6, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, -0.6, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, -0.55, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, -0.55, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, -0.55, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, -0.5, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, -0.5, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, -0.5, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, -0.45, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, -0.45, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, -0.45, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, -0.4, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, -0.4, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, -0.4, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, -0.35, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, -0.35, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, -0.35, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, -0.3, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, -0.3, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, -0.3, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, -0.25, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, -0.25, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, -0.25, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, -0.2, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, -0.2, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, -0.2, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, -0.15, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, -0.15, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, -0.15, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, -0.1, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, -0.1, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, -0.1, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, -0.05, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, -0.05, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, -0.05, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, 0, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, 0, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, 0, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, 0.05, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, 0.05, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, 0.05, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, 0.1, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, 0.1, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, 0.1, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, 0.15, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, 0.15, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, 0.15, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, 0.2, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, 0.2, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, 0.2, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, 0.25, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, 0.25, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, 0.25, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, 0.3, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, 0.3, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, 0.3, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, 0.35, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, 0.35, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, 0.35, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, 0.4, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, 0.4, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, 0.4, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, 0.45, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, 0.45, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, 0.45, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, 0.5, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, 0.5, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, 0.5, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, 0.55, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, 0.55, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, 0.55, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, 0.6, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, 0.6, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, 0.6, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, 0.65, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, 0.65, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.35, 0.65, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, -0.65, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, -0.65, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, -0.65, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, -0.6, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, -0.6, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, -0.6, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, -0.55, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, -0.55, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, -0.55, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, -0.5, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, -0.5, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, -0.5, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, -0.45, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, -0.45, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, -0.45, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, -0.4, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, -0.4, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, -0.4, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, -0.35, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, -0.35, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, -0.35, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, -0.3, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, -0.3, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, -0.3, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, -0.25, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, -0.25, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, -0.25, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, -0.2, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, -0.2, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, -0.2, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, -0.15, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, -0.15, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, -0.15, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, -0.1, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, -0.1, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, -0.1, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, -0.05, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, -0.05, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, -0.05, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, 0, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, 0, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, 0, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, 0.05, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, 0.05, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, 0.05, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, 0.1, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, 0.1, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, 0.1, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, 0.15, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, 0.15, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, 0.15, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, 0.2, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, 0.2, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, 0.2, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, 0.25, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, 0.25, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, 0.25, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, 0.3, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, 0.3, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, 0.3, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, 0.35, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, 0.35, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, 0.35, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, 0.4, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, 0.4, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, 0.4, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, 0.45, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, 0.45, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, 0.45, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, 0.5, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, 0.5, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, 0.5, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, 0.55, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, 0.55, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, 0.55, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, 0.6, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, 0.6, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, 0.6, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, 0.65, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, 0.65, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.3, 0.65, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, -0.65, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, -0.65, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, -0.65, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, -0.6, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, -0.6, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, -0.6, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, -0.55, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, -0.55, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, -0.55, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, -0.5, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, -0.5, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, -0.5, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, -0.45, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, -0.45, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, -0.45, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, -0.4, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, -0.4, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, -0.4, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, -0.35, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, -0.35, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, -0.35, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, -0.3, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, -0.3, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, -0.3, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, -0.25, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, -0.25, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, -0.25, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, -0.2, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, -0.2, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, -0.2, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, -0.15, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, -0.15, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, -0.15, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, -0.1, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, -0.1, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, -0.1, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, -0.05, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, -0.05, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, -0.05, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, 0, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, 0, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, 0, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, 0.05, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, 0.05, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, 0.05, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, 0.1, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, 0.1, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, 0.1, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, 0.15, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, 0.15, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, 0.15, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, 0.2, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, 0.2, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, 0.2, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, 0.25, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, 0.25, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, 0.25, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, 0.3, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, 0.3, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, 0.3, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, 0.35, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, 0.35, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, 0.35, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, 0.4, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, 0.4, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, 0.4, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, 0.45, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, 0.45, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, 0.45, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, 0.5, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, 0.5, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, 0.5, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, 0.55, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, 0.55, -0.05, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, 0.55, 0, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
-0.25, 0.6, -0.1, 2e-20, 2e-20, 2e-20, 2.73205e-20, 1000, 1e-20
